1950,56.1
1951,55.8
1952,55.4
1953,52
1954,52.2
1955,54.5
1956,49.6
1957,46.6
1958,52.7
1959,53.3
1960,58.1
1961,55.1
1962,52.2
1963,49.6
1964,48.1
1965,62.9
1966,55
1967,50.7
1968,54.8
1969,53.9
1970,56.2
1971,56.9
1972,52.7
1973,50.1
1974,60.6
1975,53
1976,51.7
1977,60.5
1978,44.9
1979,51
1980,52.7
1981,51.7
1982,55
1983,50.5
1984,53.6
1985,54.8
1986,56
1987,58.4
1988,57
1989,54
1990,48.8
1991,59.2
1992,49.1
1993,50.2
1994,50.6
1995,49.9
1996,60.4
1997,47.6
1998,52
1999,48.1
2000,59.2
2001,42.6
2002,40.4
2003,52.8
2004,54.6
2005,53.9
2006,56.7
2007,53.9
2008,50.7
2009,56.3
2010,47.9
2011,53
2012,59
2013,55
2014,52.8
2015,56.6
2016,53.5
2017,52
2018,52.2
