1950,49.8
1951,58.2
1952,57
1953,61.2
1954,54
1955,66.1
1956,55.1
1957,47.9
1958,56
1959,53.4
1960,60.6
1961,60.9
1962,52.2
1963,56.9
1964,59.2
1965,45.7
1966,50.7
1967,55.6
1968,55.5
1969,57.6
1970,58.6
1971,60.7
1972,59.1
1973,52.3
1974,54.6
1975,48.9
1976,44
1977,51.2
1978,62.1
1979,54.8
1980,54.8
1981,50.1
1982,55.5
1983,61.3
1984,49.8
1985,61
1986,58.8
1987,48.1
1988,51.2
1989,45.8
1990,58
1991,56.1
1992,55.1
1993,57.5
1994,52.2
1995,52.8
1996,53.4
1997,50.2
1998,55.9
1999,66.1
2000,50.4
2001,63.7
2002,54
2003,58.8
2004,52.4
2005,53.7
2006,54.2
2007,60
2008,55.3
2009,54.2
2010,43.5
2011,58.9
2012,59.3
2013,49.6
2014,60.4
2015,52.9
2016,58.4
2017,53.6
2018,60.4
