1950,57.9
1951,56.8
1952,54.5
1953,52.6
1954,51.5
1955,61.6
1956,47.6
1957,60.5
1958,54.7
1959,54.1
1960,61.1
1961,53.7
1962,57.3
1963,53.7
1964,56.4
1965,45.3
1966,54.1
1967,52.6
1968,51.1
1969,59.8
1970,50
1971,50.6
1972,70.2
1973,61.4
1974,63.5
1975,49.3
1976,45.1
1977,53.9
1978,42.9
1979,50.1
1980,51.1
1981,50.4
1982,58.4
1983,62.1
1984,56.3
1985,49.4
1986,49.2
1987,51.5
1988,43.1
1989,52.8
1990,49.5
1991,46.3
1992,49.9
1993,57.5
1994,53.3
1995,56.2
1996,59.9
1997,50.8
1998,55
1999,55.3
2000,56
2001,46.7
2002,54.5
2003,63.4
2004,51.7
2005,54.2
2006,62.4
2007,52.8
2008,55.4
2009,54.5
2010,52
2011,45.2
2012,55.6
2013,62.2
2014,56.9
2015,53.7
2016,47.5
2017,58.6
2018,47.7
