1950,60.7
1951,53.1
1952,57.2
1953,53.1
1954,55.1
1955,61.2
1956,54.6
1957,58.7
1958,53.1
1959,55.1
1960,56.5
1961,55.9
1962,56.5
1963,55.7
1964,55.4
1965,60.2
1966,60.9
1967,50
1968,57.2
1969,59.7
1970,63.9
1971,57.1
1972,51.8
1973,54.4
1974,53.7
1975,62.7
1976,52.4
1977,56.4
1978,53.3
1979,58.6
1980,52.3
1981,62.1
1982,53
1983,54.7
1984,59.2
1985,52.5
1986,58.3
1987,54
1988,51.4
1989,58.1
1990,56.2
1991,60.3
1992,57
1993,53
1994,52
1995,64.1
1996,52.1
1997,45.4
1998,59.2
1999,52.6
2000,56.3
2001,62.7
2002,56.6
2003,49.4
2004,58.6
2005,54
2006,58.9
2007,58.7
2008,52.7
2009,63.2
2010,58.5
2011,62.8
2012,55.2
2013,60.1
2014,62.1
2015,51.1
2016,47.9
2017,52.6
2018,56.8
