1950,57.8
1951,53.1
1952,57
1953,53.8
1954,60.7
1955,52
1956,59.4
1957,52.5
1958,63.1
1959,51.8
1960,44.4
1961,57.4
1962,50.7
1963,61.5
1964,64.4
1965,48.8
1966,53.3
1967,55.3
1968,60.9
1969,49.2
1970,48.9
1971,51.9
1972,53.6
1973,53.7
1974,58.2
1975,48.6
1976,61.2
1977,55
1978,59.1
1979,43.9
1980,56.8
1981,54.7
1982,57.2
1983,48.6
1984,55.7
1985,50.2
1986,58.7
1987,52
1988,59.2
1989,54.3
1990,63.8
1991,65.2
1992,43.6
1993,57.3
1994,49.3
1995,45.2
1996,60.6
1997,52.7
1998,49.7
1999,52
2000,57.3
2001,57.5
2002,55.8
2003,56.2
2004,54.2
2005,47.7
2006,55.5
2007,54.7
2008,51.8
2009,61.6
2010,48.2
2011,51.8
2012,55.4
2013,56.7
2014,46.7
2015,52.3
2016,50.2
2017,49.4
2018,56.6
