1950,53.9
1951,49.3
1952,52.8
1953,58.5
1954,47.1
1955,51.3
1956,54.7
1957,46.1
1958,50.8
1959,65.5
1960,58.6
1961,46.3
1962,54.2
1963,54.8
1964,59.2
1965,57.2
1966,61.7
1967,58.1
1968,48.9
1969,53.7
1970,55.5
1971,60.8
1972,51
1973,49.7
1974,57.4
1975,55.3
1976,64.2
1977,59
1978,60.2
1979,49.2
1980,51.7
1981,56.3
1982,50.4
1983,47.6
1984,58.2
1985,53.5
1986,53.6
1987,49.4
1988,56.1
1989,61.9
1990,50.2
1991,63.8
1992,56.2
1993,53.1
1994,52
1995,52.8
1996,57.9
1997,50.2
1998,56.9
1999,56.5
2000,54
2001,58.9
2002,66.4
2003,62.4
2004,68.5
2005,53.7
2006,47.9
2007,62.8
2008,63.5
2009,56.2
2010,51.4
2011,60.3
2012,47.5
2013,63.9
2014,54
2015,57.3
2016,50.9
2017,48.7
2018,55.9
