1950,53.5
1951,59.7
1952,57.1
1953,56.2
1954,45.6
1955,53.6
1956,54.9
1957,60.9
1958,52.4
1959,57.8
1960,52.6
1961,59.8
1962,54.2
1963,55.6
1964,57.9
1965,54.1
1966,61.4
1967,61.8
1968,53.3
1969,58.3
1970,61.7
1971,50.7
1972,56.2
1973,60.8
1974,53
1975,55
1976,59.4
1977,44.4
1978,47.3
1979,59.4
1980,55.4
1981,45.9
1982,49
1983,54.6
1984,60.2
1985,59
1986,54.6
1987,57.4
1988,62.5
1989,56
1990,65.8
1991,52.1
1992,60
1993,61.6
1994,54.9
1995,48.8
1996,57.3
1997,48.2
1998,54.6
1999,55.1
2000,44
2001,58.9
2002,57.3
2003,52.4
2004,51.4
2005,57.6
2006,52
2007,51.6
2008,72.1
2009,49.4
2010,55.2
2011,47.7
2012,48
2013,59.3
2014,56
2015,57.2
2016,68.3
2017,52.7
2018,62.3
