1950,51.3
1951,56.1
1952,55.9
1953,51.6
1954,52.4
1955,59.2
1956,56.1
1957,53.1
1958,53.8
1959,60.9
1960,61.6
1961,51
1962,65.1
1963,51.1
1964,60.1
1965,58.1
1966,59.2
1967,46.4
1968,58.7
1969,60.6
1970,57.6
1971,44.3
1972,59.1
1973,57
1974,59.5
1975,60.7
1976,63.3
1977,56.9
1978,66.8
1979,58.5
1980,56.5
1981,48.6
1982,50
1983,50.1
1984,60.2
1985,56.2
1986,50.7
1987,55.6
1988,51
1989,56
1990,47.3
1991,47.5
1992,54.4
1993,49
1994,53.2
1995,57.7
1996,58.2
1997,50.3
1998,58.3
1999,48.2
2000,48.2
2001,53.8
2002,53.2
2003,50.4
2004,57.7
2005,50.3
2006,57.3
2007,57.4
2008,55.9
2009,54.4
2010,63.2
2011,56.7
2012,53.5
2013,62.6
2014,53.8
2015,47.7
2016,44.1
2017,60
2018,45.1
